2020-08-17 11:35:21.682 [ http-nio-9001-exec-7 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 11:35:21.683 [ http-nio-9001-exec-7 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98834]
2020-08-17 11:35:21.683 [ http-nio-9001-exec-7 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 11:35:22.123 [ http-nio-9001-exec-7 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 11:39:06.383 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 11:39:06.408 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98834]
2020-08-17 11:39:06.409 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 11:39:06.660 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 14:47:40.886 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 14:47:40.911 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98836]
2020-08-17 14:47:40.912 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 14:47:40.938 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 14:48:54.692 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 14:48:54.694 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98836]
2020-08-17 14:48:54.694 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 14:48:54.744 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 14:53:10.677 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 14:53:10.679 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98837]
2020-08-17 14:53:10.679 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 14:53:10.755 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 14:53:48.134 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 14:53:48.135 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98837]
2020-08-17 14:53:48.136 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 14:53:48.190 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 14:53:53.905 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 14:53:53.906 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98837]
2020-08-17 14:53:53.906 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 14:53:53.976 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 14:59:19.167 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 14:59:19.168 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98838]
2020-08-17 14:59:19.168 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 14:59:19.200 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 15:01:58.505 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 15:01:58.513 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98834]
2020-08-17 15:01:58.518 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 15:01:58.877 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 15:02:03.983 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 15:02:03.986 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98834]
2020-08-17 15:02:03.986 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 15:02:04.059 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 15:02:08.830 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 15:02:08.838 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98834]
2020-08-17 15:02:08.839 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 15:02:08.925 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 15:02:32.841 [ http-nio-9001-exec-8 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 15:02:32.841 [ http-nio-9001-exec-8 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98838]
2020-08-17 15:02:32.842 [ http-nio-9001-exec-8 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 15:02:35.919 [ http-nio-9001-exec-8 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 15:07:52.773 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-17 15:07:52.786 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98835]
2020-08-17 15:07:52.787 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-17 15:07:52.882 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-17 15:08:38.625 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
