2020-09-16 11:01:02.740 [ http-nio-9001-exec-8 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-16 11:01:02.755 [ http-nio-9001-exec-8 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99081]
2020-09-16 11:01:02.756 [ http-nio-9001-exec-8 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-16 11:01:02.851 [ http-nio-9001-exec-8 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-16 11:02:59.823 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-16 11:02:59.828 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99081]
2020-09-16 11:02:59.829 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-16 11:02:59.953 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-16 11:04:49.437 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-16 11:04:49.438 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99081]
2020-09-16 11:04:49.438 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-16 11:04:49.502 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-16 11:06:51.431 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-16 11:06:51.440 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99081]
2020-09-16 11:06:51.440 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-16 11:06:51.535 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-16 11:07:24.851 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-16 11:07:24.851 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99081]
2020-09-16 11:07:24.852 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-16 11:07:24.980 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-16 11:10:18.099 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-16 11:10:18.104 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99082]
2020-09-16 11:10:18.105 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-16 11:10:18.186 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-16 11:12:01.211 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-16 11:12:01.212 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99082]
2020-09-16 11:12:01.212 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-16 11:12:01.243 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-16 11:12:09.576 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-16 11:12:09.579 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99082]
2020-09-16 11:12:09.581 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-16 11:12:09.621 [ http-nio-9001-exec-3 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
