2020-09-29 16:15:36.994 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 16:15:36.996 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99085]
2020-09-29 16:15:36.996 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 16:15:37.040 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-29 18:11:32.392 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 18:11:32.394 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99085]
2020-09-29 18:11:32.394 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 18:11:32.477 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-29 18:13:00.788 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 18:13:00.788 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99085]
2020-09-29 18:13:00.789 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 18:13:01.177 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-29 18:13:17.584 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 18:13:17.584 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99082]
2020-09-29 18:13:17.584 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 18:13:17.616 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-29 18:15:11.409 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 18:15:11.411 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99082]
2020-09-29 18:15:11.411 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 18:15:11.743 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-29 18:15:20.513 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 18:15:20.515 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99073]
2020-09-29 18:15:20.515 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 18:15:20.648 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-29 18:16:16.546 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 18:16:16.547 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99073]
2020-09-29 18:16:16.547 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 18:16:16.941 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-29 18:16:26.711 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 18:16:26.712 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99073]
2020-09-29 18:16:26.712 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 18:16:26.804 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-29 18:16:36.712 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 18:16:36.720 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99062]
2020-09-29 18:16:36.720 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 18:16:36.803 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-29 18:18:07.957 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-29 18:18:07.958 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99071]
2020-09-29 18:18:07.958 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-29 18:18:08.035 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
