2020-09-07 09:46:14.542 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-07 09:46:14.545 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98879]
2020-09-07 09:46:14.545 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-07 09:46:14.669 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-07 10:09:49.147 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-07 10:09:49.148 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98879]
2020-09-07 10:09:49.148 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-07 10:09:49.574 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-07 10:10:12.450 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-07 10:10:12.450 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98813]
2020-09-07 10:10:12.450 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-07 10:10:12.577 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-07 10:18:13.031 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-07 10:18:13.032 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98862]
2020-09-07 10:18:13.032 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-07 10:18:13.118 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-07 10:21:24.972 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-07 10:21:24.973 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98862]
2020-09-07 10:21:24.973 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-07 10:21:25.075 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-07 10:21:29.342 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-07 10:21:29.343 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98862]
2020-09-07 10:21:29.343 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-07 10:21:29.383 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-09-07 10:21:30.085 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-09-07 10:21:30.086 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98862]
2020-09-07 10:21:30.086 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-09-07 10:21:30.117 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
