2020-08-22 13:38:29.119 [ http-nio-9001-exec-7 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-22 13:38:29.120 [ http-nio-9001-exec-7 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98862]
2020-08-22 13:38:29.121 [ http-nio-9001-exec-7 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-22 13:38:29.196 [ http-nio-9001-exec-7 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-22 13:40:01.544 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-22 13:40:01.548 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98862]
2020-08-22 13:40:01.550 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-22 13:40:01.958 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-22 13:43:14.296 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-22 13:43:14.298 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98862]
2020-08-22 13:43:14.298 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-22 13:43:14.667 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-22 13:49:16.309 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-22 13:49:16.314 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98862]
2020-08-22 13:49:16.315 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-22 13:49:16.958 [ http-nio-9001-exec-4 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-22 13:51:13.937 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-22 13:51:13.939 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98862]
2020-08-22 13:51:13.940 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-22 13:51:14.334 [ http-nio-9001-exec-5 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-22 17:00:07.191 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-22 17:00:07.194 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [38054]
2020-08-22 17:00:07.194 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-22 17:00:07.389 [ http-nio-9001-exec-1 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
2020-08-22 17:01:07.662 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-08-22 17:01:07.705 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 50 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [98864]
2020-08-22 17:01:07.707 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 51 ] - starting execute add Views....
2020-08-22 17:01:07.782 [ http-nio-9001-exec-2 ] - [ INFO  ] [ addViewLog : 56 ] - execute add result:[true]
