2020-10-17 15:06:45.916 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-10-17 15:06:46.310 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 51 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99077]
2020-10-17 15:06:46.360 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 52 ] - starting execute add Views....
2020-10-17 15:06:46.468 [ http-nio-9001-exec-9 ] - [ INFO  ] [ addViewLog : 57 ] - execute add result:[true]
2020-10-17 15:12:00.472 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-10-17 15:12:00.473 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 51 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99086]
2020-10-17 15:12:00.473 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 52 ] - starting execute add Views....
2020-10-17 15:12:00.575 [ http-nio-9001-exec-10 ] - [ INFO  ] [ addViewLog : 57 ] - execute add result:[true]
2020-10-17 15:12:12.054 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 40 ] - do addViewCount.....
2020-10-17 15:12:12.055 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 51 ] - api about /getException has visited form ip :[127.0.0.1],visited exception id is [99079]
2020-10-17 15:12:12.055 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 52 ] - starting execute add Views....
2020-10-17 15:12:12.153 [ http-nio-9001-exec-6 ] - [ INFO  ] [ addViewLog : 57 ] - execute add result:[true]
